      Step     Time          Energy          fmax
FIRE:   30 15:07:41     -155.583227        0.026207
FIRE:   31 15:07:41     -155.583499        0.018714
FIRE:   32 15:07:41     -155.583691        0.026160
FIRE:   33 15:07:41     -155.583826        0.032029
FIRE:   34 15:07:41     -155.583962        0.036070
FIRE:   35 15:07:41     -155.584178        0.037972
FIRE:   36 15:07:41     -155.584539        0.037171
FIRE:   37 15:07:41     -155.585045        0.032908
FIRE:   38 15:07:41     -155.585601        0.024548
FIRE:   39 15:07:41     -155.586039        0.012122
FIRE:   40 15:07:41     -155.586249        0.018383
FIRE:   41 15:07:41     -155.586288        0.021711
FIRE:   42 15:07:41     -155.586318        0.020555
FIRE:   43 15:07:41     -155.586370        0.018310
FIRE:   44 15:07:41     -155.586433        0.015110
FIRE:   45 15:07:41     -155.586493        0.011142
FIRE:   46 15:07:41     -155.586537        0.006651
      Step     Time          Energy          fmax
FIRE:    0 15:07:41      -20.434526        0.000000
      Step     Time          Energy          fmax
FIRE:    0 15:10:31    -1294.556042        0.332946
FIRE:    1 15:10:31    -1294.568817        0.318615
FIRE:    2 15:10:31    -1294.592009        0.290614
FIRE:    3 15:10:31    -1294.621405        0.250141
FIRE:    4 15:10:31    -1294.651809        0.198750
FIRE:    5 15:10:31    -1294.678063        0.138275
FIRE:    6 15:10:31    -1294.696033        0.071091
FIRE:    7 15:10:31    -1294.703493        0.062881
FIRE:    8 15:10:31    -1294.700369        0.075426
FIRE:    9 15:10:31    -1294.700639        0.073828
FIRE:   10 15:10:31    -1294.701157        0.070670
FIRE:   11 15:10:31    -1294.701879        0.066031
FIRE:   12 15:10:31    -1294.702749        0.060027
FIRE:   13 15:10:31    -1294.703694        0.052809
FIRE:   14 15:10:31    -1294.704641        0.044561
FIRE:   15 15:10:31    -1294.705519        0.036292
FIRE:   16 15:10:31    -1294.706331        0.027363
